date,channel,campaign,impressions,clicks,spend,conversions,revenue
05-03-2026,TikTok,Launch-9,42201,1063,3571.68,94,21126.5
29-04-2026,LinkedIn,Retargeting-7,18298,481,288.6,51,11946.24
10-04-2026,Email,Retargeting-9,24183,568,465.76,66,10407.54
16-02-2026,Meta Ads,Spring-2,61378,706,698.94,35,3407.95
04-03-2026,LinkedIn,Launch-2,75042,2401,6098.54,141,32499.09
08-02-2026,LinkedIn,Always-On-2,12963,659,1482.75,16,540.16
10-02-2026,Meta Ads,Brand-6,70110,2475,7870.5,269,35066.84
19-03-2026,LinkedIn,Spring-3,88607,4652,13816.44,287,46195.52
12-03-2026,Meta Ads,Spring-2,18971,112,286.72,10,1864.1
22-02-2026,Google Ads,Spring-3,42966,1177,3578.08,93,3106.2
10-02-2026,Email,Spring-5,5903,264,855.36,7,789.11
27-04-2026,LinkedIn,Always-On-5,63144,493,976.14,52,8668.4
06-02-2026,Organic,Launch-5,31375,414,741.06,35,2926
13-02-2026,LinkedIn,Launch-2,85801,3406,6675.76,338,69634.76
10-01-2026,Organic,Retargeting-2,81582,3973,10528.45,179,25783.16
02-03-2026,Organic,Launch-6,83811,4819,12384.83,552,16433.04
20-01-2026,Meta Ads,Brand-3,22852,530,461.1,14,1006.18
11-04-2026,Email,Launch-1,76038,2578,8430.06,86,15232.32
16-01-2026,LinkedIn,Brand-3,69915,2398,3069.44,229,21461.88
25-01-2026,Meta Ads,Spring-3,41976,1910,1508.9,160,24024
05-02-2026,LinkedIn,Retargeting-5,64018,3553,5293.97,243,24909.93
23-04-2026,Affiliate,Retargeting-4,38709,1757,3022.04,100,22126
22-03-2026,TikTok,Brand-7,53216,1048,2672.4,110,2893
04-03-2026,Organic,Launch-3,32383,615,522.75,52,11420.76
12-01-2026,LinkedIn,Retargeting-3,43840,1723,4617.64,138,26130.3
24-02-2026,Meta Ads,Launch-8,11522,331,191.98,29,2058.42
20-04-2026,Organic,Retargeting-5,7403,405,858.6,27,1655.37
01-02-2026,TikTok,Always-On-8,45608,369,357.93,14,2172.24
24-04-2026,Affiliate,Launch-4,40036,1149,2183.1,105,18914.7
01-04-2026,Google Ads,Spring-4,68589,1070,2086.5,102,3447.6
26-04-2026,Google Ads,Always-On-6,68245,1099,252.77,63,1888.74
27-02-2026,Google Ads,Spring-3,32680,859,2662.9,84,5399.52
28-03-2026,Google Ads,Brand-4,8692,114,134.52,10,658.5
13-01-2026,Email,Always-On-4,17876,417,946.59,49,6352.85
11-02-2026,Affiliate,Spring-1,28872,641,1531.99,69,12219.9
02-02-2026,Google Ads,Retargeting-6,3294,122,408.7,12,774
21-04-2026,Email,Brand-3,56284,2111,6354.11,39,3272.88
28-02-2026,LinkedIn,Launch-1,71800,1795,843.65,149,28087.99
17-04-2026,Affiliate,Always-On-1,29177,1115,2007,92,9789.72
05-04-2026,Email,Spring-9,53356,3036,5616.6,55,3919.3
11-01-2026,TikTok,Launch-7,35150,1687,1029.07,117,2941.38
08-02-2026,Meta Ads,Brand-1,50376,2398,5635.3,273,65489.97
11-03-2026,Meta Ads,Brand-4,65346,3300,5445,334,59629.02
28-04-2026,Affiliate,Spring-2,60586,3569,11527.87,187,33437.47
04-03-2026,LinkedIn,Spring-7,8529,465,995.1,23,2583.36
02-04-2026,Organic,Retargeting-1,24053,673,2153.6,59,3108.71
01-04-2026,Organic,Brand-2,59586,3349,2813.16,248,18572.72
05-01-2026,LinkedIn,Launch-2,38144,2140,4900.6,173,33278.28
09-04-2026,Email,Spring-5,8931,497,536.76,52,6323.72
16-01-2026,LinkedIn,Always-On-8,72314,1265,3858.25,45,3597.75
07-03-2026,Email,Always-On-3,26852,1079,571.87,87,17474.82
17-04-2026,TikTok,Retargeting-9,89788,2460,2189.4,178,7025.66
11-01-2026,Email,Always-On-6,61220,1531,3735.64,131,23842
27-01-2026,Organic,Brand-1,63645,1916,5901.28,142,33635.54
02-01-2026,Affiliate,Always-On-6,69205,2118,1186.08,45,3354.75
06-03-2026,Organic,Launch-8,26276,1437,2227.35,100,7115
31-03-2026,LinkedIn,Retargeting-1,4168,214,507.18,26,3286.14
29-01-2026,TikTok,Always-On-9,53958,3151,3907.24,292,33416.48
04-02-2026,Meta Ads,Brand-7,10976,490,1313.2,24,5404.32
24-03-2026,TikTok,Retargeting-5,7061,145,152.25,7,196.35
15-03-2026,Meta Ads,Retargeting-3,59100,3487,7671.4,335,34099.65
18-02-2026,Organic,Spring-2,66473,2991,8464.53,263,38692.56
19-01-2026,Affiliate,Retargeting-7,69903,2230,1248.8,38,3223.92
22-03-2026,TikTok,Launch-7,10172,531,578.79,60,8878.2
20-04-2026,Google Ads,Brand-7,9966,527,1528.3,51,1356.09
17-04-2026,TikTok,Always-On-8,29137,813,934.95,87,4120.32
07-04-2026,TikTok,Spring-9,56696,2551,8469.32,154,25080.44
09-04-2026,Organic,Spring-4,76926,2692,2019,37,4937.28
18-01-2026,Affiliate,Brand-3,42013,1723,1516.24,21,2576.7
17-01-2026,Affiliate,Brand-7,8461,401,661.65,12,1084.56
03-04-2026,Affiliate,Spring-4,80851,3000,9450,359,43065.64
18-02-2026,Organic,Always-On-4,37613,1617,3039.96,136,21640.32
06-02-2026,LinkedIn,Brand-6,15409,746,2111.18,40,5908
24-04-2026,TikTok,Brand-9,54523,578,427.72,68,1987.64
26-02-2026,Affiliate,Spring-7,66769,1990,5452.6,82,10027.78
26-01-2026,Affiliate,Brand-9,32553,579,121.59,40,8515.2
02-01-2026,TikTok,Always-On-8,49892,409,392.64,17,890.8
31-01-2026,Organic,Brand-9,86241,1777,2452.26,134,9987.02
04-04-2026,Meta Ads,Retargeting-5,20898,1047,3109.59,111,9052.05
07-03-2026,TikTok,Retargeting-4,8886,359,96.93,14,435.4
11-03-2026,LinkedIn,Retargeting-7,42096,1722,5355.42,145,4321
24-04-2026,Email,Retargeting-5,24538,1092,3767.4,118,12942.24
23-03-2026,Google Ads,Brand-4,49394,1773,1737.54,137,9131.05
10-04-2026,Organic,Retargeting-7,48158,1922,4612.8,217,5340.37
27-04-2026,Google Ads,Retargeting-8,7060,43,110.08,1,194.2
26-02-2026,Affiliate,Retargeting-5,10867,290,977.3,33,858
27-01-2026,Email,Retargeting-3,22572,476,585.48,9,941.49
16-03-2026,Organic,Brand-4,33690,1974,6198.36,62,10701.2
09-03-2026,Google Ads,Launch-2,51935,2581,4129.6,75,4241.25
04-01-2026,Organic,Brand-7,60876,1181,696.79,50,9398
23-04-2026,LinkedIn,Always-On-8,86542,4933,3699.75,259,47518.73
17-01-2026,TikTok,Retargeting-5,34052,2002,6806.8,29,3322.82
01-04-2026,Organic,Brand-2,66958,1091,1243.74,17,713.15
29-04-2026,Organic,Launch-2,85198,596,923.8,23,4567.57
19-04-2026,Email,Brand-5,18505,736,1891.52,40,7779.6
27-04-2026,LinkedIn,Brand-6,49203,1023,2148.3,66,2701.38
22-02-2026,Meta Ads,Launch-1,1350,49,51.94,4,438.68
31-01-2026,Affiliate,Launch-7,43838,2078,6524.92,142,20599.94
09-04-2026,TikTok,Always-On-2,27880,1210,2456.3,31,5914.49
10-02-2026,Google Ads,Brand-1,24335,594,1847.34,35,1715.35
29-01-2026,LinkedIn,Spring-8,83283,1058,3406.76,50,1850.5
21-02-2026,Organic,Brand-4,38271,1121,1961.75,44,7189.16
27-02-2026,Google Ads,Launch-6,42453,1053,3674.97,113,9627.6
09-01-2026,TikTok,Always-On-8,89409,1949,4014.94,100,23731
27-01-2026,Affiliate,Launch-6,17661,883,741.72,89,2847.11
17-03-2026,Organic,Always-On-8,51558,2867,2666.31,296,14885.84
20-04-2026,LinkedIn,Always-On-5,66550,2316,2084.4,32,5435.52
11-03-2026,LinkedIn,Always-On-2,50566,334,537.74,16,2188.8
20-03-2026,Organic,Retargeting-8,30883,1615,888.25,60,4938
26-03-2026,Google Ads,Brand-9,83074,2201,3741.7,235,34124.35
21-03-2026,Google Ads,Launch-2,56786,1772,3313.64,144,19563.84
02-04-2026,Email,Brand-7,22016,266,688.94,25,4361.5
18-01-2026,Affiliate,Launch-8,34161,936,3201.12,32,1168.64
31-03-2026,Meta Ads,Launch-5,43832,1368,670.32,130,12844
17-04-2026,Google Ads,Brand-6,26928,859,2370.84,40,4907.6
23-01-2026,Meta Ads,Retargeting-8,8338,224,295.68,19,2026.92
24-04-2026,Google Ads,Retargeting-5,54808,1326,1365.78,128,20134.4
13-04-2026,Email,Retargeting-8,20711,802,1066.66,63,9599.94
17-04-2026,LinkedIn,Retargeting-8,11486,501,501,17,2162.57
22-03-2026,TikTok,Spring-3,51075,2676,3532.32,151,12978.45
12-02-2026,Google Ads,Launch-7,662,11,34.87,0,0
23-01-2026,LinkedIn,Launch-3,8589,155,395.25,11,744.26
15-02-2026,Email,Brand-9,5791,158,333.38,14,757.96
02-04-2026,LinkedIn,Spring-1,82443,3842,5225.12,283,58094.24
25-02-2026,TikTok,Always-On-1,68958,1710,1812.6,30,4308.6
10-01-2026,Affiliate,Always-On-4,24010,540,1252.8,62,3198.58
19-01-2026,LinkedIn,Brand-6,33257,918,2322.54,25,4919.5
11-04-2026,TikTok,Always-On-9,47377,1260,2809.8,140,17634.4
26-02-2026,Google Ads,Brand-6,42700,1870,2281.4,179,22600.54
13-04-2026,Affiliate,Retargeting-4,16710,222,621.6,12,297.24
26-02-2026,Google Ads,Launch-3,54414,1213,2244.05,78,6426.42
25-04-2026,Organic,Launch-4,82838,3015,3105.45,182,26091.52
17-04-2026,Meta Ads,Always-On-9,82933,1766,1165.56,207,45183.96
26-03-2026,LinkedIn,Launch-2,44654,1880,902.4,183,9609.33
16-01-2026,LinkedIn,Brand-7,41201,231,427.35,8,1738.56
25-04-2026,Google Ads,Retargeting-5,66005,3333,11665.5,116,24757.88
04-04-2026,Meta Ads,Brand-2,49932,649,1667.93,65,2820.35
19-02-2026,Google Ads,Brand-6,57225,2077,1246.2,107,4099.17
28-03-2026,Google Ads,Retargeting-1,84511,5020,5973.8,345,22487.1
02-02-2026,Affiliate,Launch-2,79541,3579,7265.37,366,66590.04
06-03-2026,Organic,Spring-5,60925,835,2630.25,89,21062.74
12-03-2026,Organic,Always-On-2,2708,84,257.88,2,284.3
10-04-2026,LinkedIn,Retargeting-2,38411,810,1077.3,37,3120.58
23-02-2026,Email,Spring-8,83786,2522,8322.6,134,9806.12
16-04-2026,LinkedIn,Always-On-5,60623,2486,5444.34,253,5259.87
07-01-2026,Google Ads,Brand-3,38003,1494,3570.66,67,11493.18
14-04-2026,Email,Retargeting-4,57982,1339,3950.05,75,14185.5
10-03-2026,TikTok,Launch-2,22712,1192,786.72,14,341.74
08-03-2026,Meta Ads,Always-On-3,48568,1462,1871.36,98,5684
24-04-2026,LinkedIn,Launch-9,49773,1911,3764.67,96,7416
19-04-2026,Email,Spring-2,38153,1415,2292.3,58,4341.88
05-02-2026,Email,Brand-9,61259,3253,2797.58,306,32662.44
03-03-2026,Google Ads,Brand-7,61031,549,1092.51,15,1280.1
12-02-2026,Meta Ads,Brand-6,33498,251,421.68,8,1068
18-03-2026,Organic,Brand-9,11667,494,1659.84,46,2765.52
06-04-2026,TikTok,Brand-2,84389,3443,11155.32,34,6058.46
23-04-2026,LinkedIn,Brand-5,56020,1557,342.54,128,24584.96
08-01-2026,Affiliate,Always-On-1,68204,3096,10433.52,345,12923.7
07-02-2026,LinkedIn,Launch-3,3632,34,59.5,2,466.3
08-02-2026,Organic,Retargeting-3,4533,58,119.48,1,222.99
01-02-2026,Email,Launch-9,70319,774,1942.74,33,725.01
05-04-2026,Organic,Launch-4,2196,97,207.58,2,399.84
15-04-2026,Email,Spring-7,77295,2481,2977.2,196,15203.72
23-04-2026,Email,Launch-6,79101,4311,14614.29,75,14719.5
07-01-2026,TikTok,Always-On-4,81933,3703,9701.86,38,2381.46
13-03-2026,TikTok,Always-On-3,18489,386,1130.98,39,6870.24
20-02-2026,TikTok,Brand-5,79291,2418,1233.18,163,4251.04
06-02-2026,Email,Always-On-6,74441,3127,3627.32,72,7534.08
23-04-2026,LinkedIn,Launch-2,27544,1556,2380.68,101,5069.19
26-02-2026,Affiliate,Spring-1,56638,2316,1273.8,217,35264.67
28-04-2026,Organic,Always-On-1,2077,17,55.42,1,171.08
10-03-2026,TikTok,Always-On-7,71742,2023,3337.95,41,1386.21
13-01-2026,Email,Spring-5,43187,1365,2770.95,15,2034
18-01-2026,LinkedIn,Retargeting-8,88587,3570,1178.1,65,6819.15
25-01-2026,Affiliate,Brand-7,86520,1635,2616,174,34878.3
05-03-2026,TikTok,Spring-2,38574,1053,231.66,89,17707.44
12-04-2026,Google Ads,Always-On-2,31758,940,1043.4,43,2514.64
21-04-2026,TikTok,Always-On-6,10499,59,73.16,1,145.78
17-02-2026,TikTok,Always-On-4,7614,171,543.78,10,256.3
21-01-2026,Affiliate,Launch-9,66402,3154,9209.68,226,33014.08
25-04-2026,Google Ads,Brand-8,64438,754,897.26,47,4154.33
08-03-2026,Email,Brand-6,31700,1674,1540.08,180,14895
30-01-2026,LinkedIn,Spring-5,71078,2132,767.52,47,9001.44
25-04-2026,Email,Launch-1,66624,3957,10565.19,306,6851.34
17-01-2026,TikTok,Launch-6,71403,1942,6350.34,97,20690.1
23-02-2026,LinkedIn,Retargeting-3,66566,2443,3102.61,44,5178.36
24-02-2026,TikTok,Retargeting-4,5778,153,512.55,5,417.7
30-04-2026,LinkedIn,Always-On-5,44625,2628,1787.04,161,16030.77
